experiment_num,results_dir,model_type,model,normal_label,scaling_type,unsupervised_ratio,ae_encoder_units,ae_encoder_activations,ae_encoder_dropout_rates,ae_encoder_l1_param,ae_decoder_units,ae_decoder_activations,ae_decoder_dropout_rates,output_activation,loss_function,ae_epochs,ann_layer_units,ann_layer_activations,ann_layer_dropout_rates,ann_epochs,early_stop_patience,batch_size,dataset_dir,description
#3,results_selected_models/selected_ids17_ae_ann_shallow_rep3,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_shallow_rep3
#4,results_selected_models/selected_ids17_ae_ann_shallow_rep4,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_shallow_rep4
#5,results_selected_models/selected_ids17_ae_ann_shallow_rep5,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_shallow_rep5
# Selected shallow AE + ANN on KDD99 dataset,,,,,,,,,,,,,,,,,,,,,,,,
1,results_selected_models/selected_kdd99_ae_ann_shallow_rep1,classifier,ae_ann,normal,NA,0.5,"32,","relu,","0.2,",-1,,,,relu,mean_squared_error,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_shallow_rep1
2,results_selected_models/selected_kdd99_ae_ann_shallow_rep2,classifier,ae_ann,normal,NA,0.5,"32,","relu,","0.2,",-1,,,,relu,mean_squared_error,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_shallow_rep2
3,results_selected_models/selected_kdd99_ae_ann_shallow_rep3,classifier,ae_ann,normal,NA,0.5,"32,","relu,","0.2,",-1,,,,relu,mean_squared_error,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_shallow_rep3
4,results_selected_models/selected_kdd99_ae_ann_shallow_rep4,classifier,ae_ann,normal,NA,0.5,"32,","relu,","0.2,",-1,,,,relu,mean_squared_error,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_shallow_rep4
5,results_selected_models/selected_kdd99_ae_ann_shallow_rep5,classifier,ae_ann,normal,NA,0.5,"32,","relu,","0.2,",-1,,,,relu,mean_squared_error,200,"32,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_shallow_rep5
# Selected shallow AE + ANN on IDS 2018 dataset,,,,,,,,,,,,,,,,,,,,,,,,
#1,results_selected_models/selected_ids18_subset_ae_ann_shallow_rep1,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_shallow_rep1
#2,results_selected_models/selected_ids18_subset_ae_ann_shallow_rep2,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_shallow_rep2
#3,results_selected_models/selected_ids18_subset_ae_ann_shallow_rep3,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_shallow_rep3
#4,results_selected_models/selected_ids18_subset_ae_ann_shallow_rep4,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_shallow_rep4
#5,results_selected_models/selected_ids18_subset_ae_ann_shallow_rep5,classifier,ae_ann,BENIGN,NA,0.5,"32,","relu,","0.2,",-1,,,,sigmoid,binary_crossentropy,200,"32,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_shallow_rep5
#,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
# Selected deep AE + ANN,,,,,,,,,,,,,,,,,,,,,,,,
#  Selected deep AE + ANN on NSL-KDD,,,,,,,,,,,,,,,,,,,,,,,,
1,results_selected_models/selected_nsl_ae_ann_deep_rep1,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/nsl_kdd_five_classes,selected_nsl_ae_ann_deep_rep1
2,results_selected_models/selected_nsl_ae_ann_deep_rep2,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/nsl_kdd_five_classes,selected_nsl_ae_ann_deep_rep2
3,results_selected_models/selected_nsl_ae_ann_deep_rep3,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/nsl_kdd_five_classes,selected_nsl_ae_ann_deep_rep3
4,results_selected_models/selected_nsl_ae_ann_deep_rep4,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/nsl_kdd_five_classes,selected_nsl_ae_ann_deep_rep4
5,results_selected_models/selected_nsl_ae_ann_deep_rep5,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/nsl_kdd_five_classes,selected_nsl_ae_ann_deep_rep5
# Selected deep AE + ANN on IDS 2017 dataset,,,,,,,,,,,,,,,,,,,,,,,,
1,results_selected_models/selected_ids17_ae_ann_deep_rep1,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_deep_rep1
2,results_selected_models/selected_ids17_ae_ann_deep_rep2,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_deep_rep2
3,results_selected_models/selected_ids17_ae_ann_deep_rep3,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_deep_rep3
4,results_selected_models/selected_ids17_ae_ann_deep_rep4,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_deep_rep4
5,results_selected_models/selected_ids17_ae_ann_deep_rep5,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/ids2017,selected_ids17_ae_ann_deep_rep5
# Selected deep AE + ANN on KDD99 dataset,,,,,,,,,,,,,,,,,,,,,,,,
1,results_selected_models/selected_kdd99_ae_ann_deep_rep1,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_deep_rep1
2,results_selected_models/selected_kdd99_ae_ann_deep_rep2,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_deep_rep2
3,results_selected_models/selected_kdd99_ae_ann_deep_rep3,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_deep_rep3
4,results_selected_models/selected_kdd99_ae_ann_deep_rep4,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_deep_rep4
5,results_selected_models/selected_kdd99_ae_ann_deep_rep5,classifier,ae_ann,normal,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/full_datasets/kdd99_five_classes,selected_kdd99_ae_ann_deep_rep5
# Selected deep AE + ANN on IDS 2018 dataset,,,,,,,,,,,,,,,,,,,,,,,,
1,results_selected_models/selected_ids18_subset_ae_ann_deep_rep1,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_deep_rep1
2,results_selected_models/selected_ids18_subset_ae_ann_deep_rep2,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_deep_rep2
3,results_selected_models/selected_ids18_subset_ae_ann_deep_rep3,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_deep_rep3
4,results_selected_models/selected_ids18_subset_ae_ann_deep_rep4,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_deep_rep4
5,results_selected_models/selected_ids18_subset_ae_ann_deep_rep5,classifier,ae_ann,BENIGN,NA,0.25,"128,64,32","relu,relu,relu,","0.2,0.2,0.2",-1,"64,128","relu,relu,","0.2,0.2",sigmoid,binary_crossentropy,200,"64,","relu,","0.2,",200,50,256,../Datasets/small_datasets/ids2018,selected_ids18_subset_ae_ann_deep_rep5
